Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount,
5/26/2023,5/26/2023,5/31/2023,VOOG,"Vanguard S&P 500 Growth ETF
CUSIP: 921932505
order batcher",Buy,0.207572,$240.88 ,($50.00),
5/26/2023,5/26/2023,5/31/2023,MSFT,"Microsoft
CUSIP: 594918104
order batcher",Buy,0.150597,$332.01 ,($50.00),
5/26/2023,5/26/2023,5/31/2023,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
order batcher",Buy,0.129671,$385.59 ,($50.00),
5/26/2023,5/26/2023,5/30/2023,,ACH Deposit,ACH,,,$150.00 ,
5/19/2023,5/19/2023,5/23/2023,AAPL,"Apple
CUSIP: 037833100
order batcher",Buy,0.012602,$176.16 ,($2.22),
5/18/2023,5/18/2023,5/18/2023,AAPL,Cash Div: R/D 2023-05-15 P/D 2023-05-18 - 9.245255 shares at 0.24,CDIV,,,$2.22 ,
5/12/2023,5/12/2023,5/16/2023,VOOG,"Vanguard S&P 500 Growth ETF
CUSIP: 921932505
order batcher",Buy,0.128683,$233.13 ,($30.00),
5/12/2023,5/12/2023,5/16/2023,MSFT,"Microsoft
CUSIP: 594918104
order batcher",Buy,0.048696,$308.03 ,($15.00),
5/12/2023,5/12/2023,5/16/2023,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
order batcher",Buy,0.079539,$377.17 ,($30.00),
5/12/2023,5/12/2023,5/12/2023,,ACH Deposit,ACH,,,$75.00 ,
5/1/2023,5/1/2023,5/3/2023,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103
order batcher",Buy,0.003651,$416.23 ,($1.52),
4/28/2023,4/28/2023,4/28/2023,SPY,Cash Div: R/D 2023-03-20 P/D 2023-04-28 - 1.008512 shares at 1.506204,CDIV,,,$1.52 ,
4/28/2023,4/28/2023,5/2/2023,VOOG,"Vanguard S&P 500 Growth ETF
CUSIP: 921932505
order batcher",Buy,0.12849,$233.48 ,($30.00),
4/28/2023,4/28/2023,5/2/2023,MSFT,"Microsoft
CUSIP: 594918104
order batcher",Buy,0.049096,$305.52 ,($15.00),
4/28/2023,4/28/2023,5/2/2023,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
order batcher",Buy,0.078589,$381.73 ,($30.00),
4/28/2023,4/28/2023,4/28/2023,,ACH Deposit,ACH,,,$75.00 ,
4/14/2023,4/14/2023,4/18/2023,VOOG,"Vanguard S&P 500 Growth ETF
CUSIP: 921932505
order batcher",Buy,0.129595,$231.49 ,($30.00),
4/14/2023,4/14/2023,4/18/2023,MSFT,"Microsoft
CUSIP: 594918104
order batcher",Buy,0.052785,$284.17 ,($15.00),
4/14/2023,4/14/2023,4/18/2023,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
order batcher",Buy,0.079607,$376.85 ,($30.00),
4/14/2023,4/14/2023,4/14/2023,,ACH Deposit,ACH,,,$75.00 ,
3/31/2023,3/31/2023,4/4/2023,VOOG,"Vanguard S&P 500 Growth ETF
CUSIP: 921932505
order batcher",Buy,0.13093,$229.13 ,($30.00),
